OPPORTUNITY LINK,OPPORTUNITY TITLE,Status,"Private, Local, State, or Federal",AGENCY NAME,ESTIMATED FUNDING,EXPECTED NUMBER OF AWARDS,GRANTOR CONTACT,AGENCY CONTACT PHONE,DUE DATE,Instrument Type,Immigration Status Requirements,Description,Demographic Eligibility,Other Eligibility Requirements,COVID Specific,Location Eligibility
RFA-OD-20-004,INvestigation of Co-occurring conditions across the Lifespan to Understand Down syndromE (INCLUDE) Clinical Trial Readiness (R21 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,11/03/2021,Grant,,,,,,
RFA-OD-20-006,Small Research Grants for Analyses of Down Syndrome-related Research Data for the INCLUDE Project (R03 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,11/03/2021,Grant,,,,,,
PAR-20-078,"Secondary Analysis of Existing Datasets in Heart, Lung, and Blood Diseases and Sleep Disorders (R21 Clinical Trial Not Allowed)",Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,11/25/2022,Grant,,,,,,
PAR-19-064,Mechanism for Time-Sensitive Drug Abuse Research (R21 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,10/08/2021,Grant,,,,,,
RFA-NS-20-006,BRAIN Initiative: Biology and Biophysics of Neural Stimulation and Recording Technologies (R01 Clinical Trials Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,10/03/2022,Grant,,,,,,
PAR-20-055,Engineering Next-Generation Human Nervous System Microphysiological Systems (R01 Clinical Trials Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/07/2023,Grant,,,,,,
PAR-20-082,Engineering Next-Generation Human Nervous System Microphysiological Systems (R21 Clinical Trials Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/07/2023,Grant,,,,,,
PAR-20-079,Surgical Disparities Research (R01 - Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,07/05/2022,Grant,,,,,,
RFA-OD-20-002,Animal and Biological Material Resource Centers (P40) (Clinical Trials Not-Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/07/2023,Grant,,,,,,
PA-20-025,Development of Highly Innovative Tools and Technology for Analysis of Single Cells (STTR) (R41/R42 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/05/2023,Grant,,,,,,
PA-20-047,Development of Highly Innovative Tools and Technology for Analysis of Single Cells (SBIR) (R43/R44 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/05/2023,Grant,,,,,,
PAR-20-070,Research Infrastructure Development for Interdisciplinary Aging Studies (R21/R33 - Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,11/16/2022,Grant,,,,,,
PAR-20-084,NIBIB Trailblazer Award for New and Early Stage Investigators (R21 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/07/2023,Grant,,,,,,
PAR-20-038,Development and Application of PET and SPECT Imaging Ligands as Biomarkers for Drug Discovery and for Pathophysiological Studies of CNS Disorders (R01 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/07/2023,Grant,,,,,,
PAR-20-095,Development of Research Education Resources for Geriatrics-Related Translational and Clinical Scientists (R25 Independent Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/25/2023,Grant,,,,,,
PAR-20-080,NIMH Mentoring Networks for Mental Health Research Education (R25 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/25/2022,Grant,,,,,,
PAR-20-094,NIMH Research Education Programs for Psychiatry Residents (R25- Independent Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/25/2022,Grant,,,,,,
PAR-20-081,Mechanisms of Disparities in Chronic Liver Diseases and Cancer (R21- Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,04/01/2022,Grant,,,,,,
PAR-20-088,Mechanisms of Disparities in Chronic Liver Diseases and Cancer (R01- Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,04/01/2022,Grant,,,,,,
PAR-20-090,NIAMS Clinical Trial Planning Grant (R34) - Clinical Trial Not Allowed,Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,11/01/2022,Grant,,,,,,
PAR-20-093,Silvio O. Conte Centers for Basic Neuroscience or Translational Mental Health Research (P50 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/24/2022,Grant,,,,,,
PAR-20-096,NIMH Short Courses for Mental Health Related Research (R25 -Independent Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/25/2022,Grant,,,,,,
RFA-ES-20-006,Environmental Health Sciences Core Centers (EHSCC) (P30 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,04/14/2022,Grant,,,,,,
PAR-18-359,"NIDCR Mentored Career Development Award to Promote Diversity in the Dental, Oral and Craniofacial Research Workforce (K01-Clinical Trial Required)",Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/07/2022,Grant,,,,,,
PAR-18-360,NIDCR Dentist Scientist Career Transition Award for Intramural Investigators (K22-Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/07/2022,Grant,,,,,,
PAR-18-432,NIDCR Dual Degree Dentist Scientist Pathway to Independence Award (K99/R00-Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/07/2022,Grant,,,,,,
PAR-20-077,National Cancer Institute Program Project Applications (P01 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PAR-20-098,Non-Viral Technologies for in vivo Delivery of Genome Editors (R43/R44 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/05/2022,Grant,,,,,,
PAR-20-109,Non-Viral Technologies for in vivo Delivery of Genome Editors (R41/R42 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/05/2022,Grant,,,,,,
PAR-20-107,Developmental Centers for AIDS Research (P30 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,07/28/2022,Grant,,,,,,
PAR-20-106,Centers for AIDS Research (P30 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,07/28/2022,Grant,,,,,,
PAR-20-037,Development and Application of PET and SPECT Imaging Ligands as Biomarkers for Drug Discovery and for Pathophysiological Studies of CNS Disorders (R01 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/07/2023,Grant,,,,,,
PAR-20-103,Collaborative Program Grant for Multidisciplinary Teams (RM1 - Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/27/2023,Grant,,,,,,
RFA-MH-20-128,BRAIN Initiative: Standards to Define Experiments Related to the BRAIN Initiative (R01 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,3000000,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/02/2021,Grant,,,,,,
PAR-20-116,Toward Translation of Nanotechnology Cancer Interventions (TTNCI) (R01 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,11/18/2021,Grant,,,,,,
PAR-20-126,NICHD Biomedical Informatic Resource Centers Grants (P41 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
RFA-OD-20-009,Pathway to Independence Award in Tobacco Regulatory Research (K99/R00  - Independent Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,07/10/2022,Grant,,,,,,
PAR-20-117,Maximizing Investigators Research Award (MIRA) for Early Stage Investigators (R35 - Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,10/03/2022,Grant,,,,,,
PAR-20-104,Biomedical Technology Development and Dissemination Center (RM1 - Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/26/2023,Grant,,,,,,
RFA-OD-20-011,Mentored Research Scientist Career Development Award in Tobacco Regulatory Research (K01 -  Independent Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,07/10/2022,Grant,,,,,,
RFA-OD-20-008,Mentored Research Scientist Career Development Award in Tobacco Regulatory Research (K01 - Independent Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,07/10/2022,Grant,,,,,,
PAR-20-127,Advancing HIV/AIDS Research within the Mission of the NIDCD (R01 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/07/2023,Grant,,,,,,
PAR-20-123,Advancing HIV/AIDS Research within the Mission of the NIDCD (R21 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/07/2023,Grant,,,,,,
PAS-20-121,Research Towards Developing a Cure for HBV in HIV/HBV Co-Infection (R21 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/07/2022,Grant,,,,,,
RFA-OD-20-010,Pathway to Independence Award in Tobacco Regulatory Research (K99/R00 - Independent Clinical Trial  Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,07/10/2022,Grant,,,,,,
PA-20-135,Emergency Competitive Revision to Existing NIH Awards (Emergency Supplement - Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2025,Grant,,,,,,
PAR-20-137,In-Depth Phenotyping and Research Using IMPC-Generated Knockout Mouse Strains Exhibiting Embryonic or Perinatal Lethality or Subviability (R01 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,11/05/2022,Grant,,,,,,
PAR-20-131,Research Projects to Enhance Applicability of Mammalian Models for Translational Research (R01 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PAR-20-139,Investigator Initiated Extended Clinical Trial (R01 Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/13/2023,Grant,,,,,,
PAR-20-138,"Center of Excellence for Research on Complementary and Integrative Health (P01,Clinical Trial Optional)",Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PAR-20-140,"Catalytic Tool and Technology Development in Kidney, Urologic, and Hematologic Diseases (R21 Clinical Trial Not Allowed)",Available,Federal,National Institutes of Health,2000000,10,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PA-20-141,Formative and Pilot Intervention Research for Prevention and Treatment of HIV/AIDS (R34 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/07/2023,Grant,,,,,,
PA-20-142,Ruth L. Kirschstein National Research Service Award (NRSA) Institutional Research Training Grant (Parent T32),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/25/2023,Grant,,,,,,
PA-20-146,NIDA Small Research Grant Program (R03 Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PAR-20-147,Extracellular RNA carrier subclasses in processes relevant to Substance Use Disorders or HIV infection (R01- Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PAR-20-148,Extracellular RNA carrier subclasses in processes relevant to Substance Use Disorders or HIV infection (R21- Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PA-20-144,"Innovations in HIV Prevention, Testing, Adherence and Retention to Optimize HIV Prevention and Care Continuum Outcomes (R01 Clinical Trial Optional)",Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/07/2023,Grant,,,,,,
PA-20-145,"Innovations in HIV Prevention, Testing, Adherence and Retention to Optimize HIV Prevention and Care Continuum Outcomes (R21 Clinical Trial Optional)",Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/07/2023,Grant,,,,,,
PAR-20-154,Investigator Initiated Clinical Trials of Complementary and Integrative Interventions Delivered Remotely or via mHealth (R01 Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PAR-20-158,Innovation for HIV Vaccine Discovery (R01 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,07/28/2022,Grant,,,,,,
PAR-20-155,Academic-Industrial Partnerships (AIP) to Translate and Validate In Vivo Imaging Systems (R01 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2022,Grant,,,,,,
PAR-20-157,Novel Mechanism Research on Neuropsychiatric Symptoms (NPS) in Alzheimer's Dementia (R01 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PAR-20-159,Novel Mechanism Research on Neuropsychiatric Symptoms (NPS) in Alzheimer's Dementia (R21 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PAS-20-160,Small R01s for Clinical Trials Targeting Diseases within the Mission of NIDDK (R01 Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PAR-20-156,Translational Bioinformatics Approaches to Advance Drug Repositioning and Combination Therapy Development for Alzheimers Disease (R01 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PAR-20-153,NIH Science Education Partnership Award (SEPA) (R25 - Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,2000000,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,07/13/2022,Grant,,,,,,
PAR-20-161,Catalyzing Innovation in Pediatric Pharmacology Clinical Trial Design and Resource Access (X01 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,03/17/2023,Grant,,,,,,
PA-20-162,Ruth L. Kirschstein National Research Service Award (NRSA) Short-Term Institutional Research Training Grant (Parent T35),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PAR-20-164,Mechanisms and Consequences of Sleep Disparities in the U.S. (R01 - Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,07/14/2022,Grant,,,,,,
PA-20-163,Competing Revisions to Existing NIH Grants and Cooperative Agreements (Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,03/16/2023,Grant,,,,,,
RFA-MH-20-525,NIMH Biobehavioral Research Awards for Innovative New Scientists (NIMH BRAINS) (R01 Clinical Trial Optional),Available,Federal,National Institutes of Health,3000000,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,06/20/2022,Grant,,,,,,
PAR-19-259,NIDA Research Center of Excellence Grant Program (P50 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,11/17/2021,Grant,,,,,,
PAR-20-150,NIMHD Exploratory/Developmental Research Grant Program (R21 - Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PAR-20-165,Research on Myalgic Encephalomyelitis/Chronic Fatigue Syndrome (ME/CFS) (R01 Clinical Trials Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,03/05/2023,Grant,,,,,,
PAR-20-168,Research on Myalgic Encephalomyelitis/Chronic Fatigue Syndrome (ME/CFS) (R21 Clinical Trials Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PA-20-172,Long-Term Effects of Disasters on Health Care Systems Serving Health Disparity Populations (R01- Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2023,Grant,,,,,,
PA-20-173,Independent Scientist Award (Parent K02 Independent Basic Experimental Studies with Humans Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PA-20-174,Independent Scientist Award (Parent K02 - Independent Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PA-20-171,Independent Scientist Award (Parent K02 - Independent Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PA-20-068,Improving Quality of Care and Patient Outcomes During Care Transitions (R01),Available,Federal,Agency for Health Care Research and Quality,,,"Kathryn Marron, Ph.D. Receipt and Referral Officer Agency for Healthcare Research and Quality, HHS  Office: (301) 427-1554 Email: Kathryn.Marron@ahrq.hhs.gov
Kathryn.Marron@ahrq.hhs.gov",,12/06/2022,Grant,,,,,,
PAR-18-857,Diet and Physical Activity Assessment Methodology (R21 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Grant,,,,,,
RFA-HL-21-013,Disease Modifying Therapies for Chronic Lung Disease (R61/R33 Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,06/01/2022,Grant,,,,,,
PAR-20-180,Identifying Innovative Mechanisms or Interventions that Target Multimorbidity and Its Consequences (R01 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2023,Grant,,,,,,
PAR-20-179,Advancing Research to Develop Improved Measures and Methods for Understanding Multimorbidity (R01 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2023,Grant,,,,,,
PA-20-187,NIH Pathway to Independence Award (Parent K99/R00  Independent Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PA-20-185,NIH Research Project Grant (Parent R01 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PA-20-184,Research Project Grant (Parent R01 Basic Experimental Studies with Humans Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PA-20-189,NIH Pathway to Independence Award (Parent K99/R00 Independent Basic Experimental Studies with Humans Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PA-20-188,NIH Pathway to Independence Award (Parent K99/R00  Independent Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PA-20-193,Midcareer Investigator Award in Patient-Oriented Research (Parent K24 Independent Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PA-20-186,Midcareer Investigator Award in Patient-Oriented Research (Parent K24 Independent Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PA-20-192,Midcareer Investigator Award in Patient-Oriented Research (Parent K24 - Independent Basic Experimental Studies with Humans Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PA-20-200,NIH Small Research Grant Program (Parent R03 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PA-20-197,Mentored Quantitative Research Development Award (Parent K25 Independent Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PA-20-176,Mentored Research Scientist Development Award (Parent K01 - Independent Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PA-20-195,NIH Exploratory/Developmental Research Grant Program (Parent R21 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PA-20-198,Mentored Quantitative Research Development Award (Parent K25 Independent Basic Experimental Studies with Humans Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PA-20-183,Research Project Grant (Parent R01 Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PA-20-190,Mentored Research Scientist Development Award (Parent K01 - Independent Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PA-20-191,Mentored Research Scientist Development Award (Parent K01 Independent Basic Experimental Studies with Humans Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PA-20-194,NIH Exploratory/Developmental Research Grant Program (Parent R21 Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PA-20-199,Mentored Quantitative Research Development Award (Parent K25 Independent Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PA-20-208,Substance Use/Substance Use Disorder Dissertation Research Award (R36 - Clinical Trials Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PA-20-206,Mentored Patient-Oriented Research Career Development Award (Parent K23  Independent Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PAR-19-207,Alcohol and Other Substance Use Research Education Programs for Health Professionals (R25 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,08/10/2022,Grant,,,,,,
PA-20-202,Mentored Clinical Scientist Research Career Development Award (Parent K08  Independent Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PA-20-201,Mentored Clinical Scientist Research Career Development Award (Parent K08 Independent Basic Experimental Studies with Humans Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PA-20-203,Mentored Clinical Scientist Research Career Development Award (Parent K08  Independent Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PA-20-205,Mentored Patient-Oriented Research Career Development Award (Parent K23  Independent Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PA-20-204,Mentored Patient-Oriented Research Career Development Award (Parent K23 Independent Basic Experimental Studies with Humans Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
PAR-20-210,NIAID Physician-Scientist Pathway to Independence Award (K99/R00 Independent Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/07/2023,Grant,,,,,,
PAR-20-209,NIAID Physician-Scientist Pathway to Independence Award (K99/R00 Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/07/2023,Grant,,,,,,
PA-20-149,HIV Infection of the Central Nervous System (R01 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Grant,,,,,,
